dataset,model_transformer,model_classifier,n_qubits,n_layers,wilcoxon_statistics,wilcoxon_p_value,f1_768,f1_32,wilcoxon_p_value_fixed,wilcoxon_shows_diff
chatgpt_easy,all-mpnet-base-v2,singlerotx,10.0,1.0,223.0,0.8450601983690806,0.7721007592257192,0.6830884414614589,1.0,False
chatgpt_easy,all-mpnet-base-v2,singlerotx,10.0,10.0,177.0,0.25363154442918634,0.750433650075738,0.6553950877727478,1.0,False
chatgpt_easy,all-mpnet-base-v2,singleroty,10.0,1.0,170.0,0.30414619967609535,0.7479035581273209,0.6267741621874465,1.0,False
chatgpt_easy,all-mpnet-base-v2,singleroty,10.0,10.0,92.0,0.0029870010912418365,0.7888655118300323,0.6062380476533668,0.11948004364967346,False
chatgpt_easy,all-mpnet-base-v2,singlerotz,10.0,1.0,0.0,2.5510249641087863e-06,0.6194205224861652,0.37821382530262687,0.0001122450984207866,True
chatgpt_easy,all-mpnet-base-v2,singlerotz,10.0,10.0,7.0,3.500664877569963e-06,0.6089844180192429,0.353980652223535,0.00015052858973550843,True
chatgpt_easy,all-mpnet-base-v2,rot,10.0,1.0,174.0,0.3466936728457378,0.7458259663358767,0.6258400848528088,1.0,False
chatgpt_easy,all-mpnet-base-v2,rot,10.0,10.0,109.0,0.011077101410268986,0.7812488223600993,0.664231507872355,0.3987756507696835,False
chatgpt_easy,all-mpnet-base-v2,rotcnot,10.0,1.0,135.0,0.044907576017742194,0.7155633603020998,0.5812759047649626,1.0,False
chatgpt_easy,all-mpnet-base-v2,rotcnot,10.0,10.0,27.0,0.0020360959998344777,0.9747887478487604,0.9899808938547838,0.08347993599321359,False
chatgpt_easy,all-mpnet-base-v2,svmrbf,,,0.0,,1.0,1.0,,False
chatgpt_easy,all-mpnet-base-v2,svmlinear,,,0.0,,1.0,1.0,,False
chatgpt_easy,all-mpnet-base-v2,svmpoly,,,0.0,,1.0,1.0,,False
chatgpt_easy,all-mpnet-base-v2,logistic,,,0.0,,1.0,1.0,,False
chatgpt_easy,all-mpnet-base-v2,randomforest,,,0.0,,1.0,1.0,,False
chatgpt_easy,all-mpnet-base-v2,knn,,,0.0,,1.0,1.0,,False
chatgpt_easy,all-mpnet-base-v2,mlp,,,0.0,1.7191759138770554e-06,0.685862617041709,1.0,8.595879569385277e-05,True
