circuit_name,n_layers,KL_value
rot_all_cnot,1,0.288266575
rot_all_cnot,10,0.002645734
rot_all,1,0.305294353
rot_all,10,0.20149507
maouaki_7,1,0.107982561
maouaki_7,10,0.002646102
single_rot_z,1,64.7623217
single_rot_z,10,64.7623217
maouaki_1,1,0.306838637
maouaki_1,10,0.189992235
single_rot_x,1,0.652609683
single_rot_x,10,0.677621567
maouaki_15,1,0.185517102
maouaki_15,10,0.124405315
maouaki_11,1,0.149661785
maouaki_11,10,0.002909933
single_rot_y,1,0.660169705
single_rot_y,10,0.663886648
maouaki_9,1,0.654765995
maouaki_9,10,0.002637779
