,,,accuracy,accuracy,f1,f1,precision,precision,recall,recall
,,,mean,std,mean,std,mean,std,mean,std
n_layers,model,level,,,,,,,,
1,AnsatzSingleRotX,easy,0.760666667,0.206279578,0.683088441,0.357905828,0.721936723,0.375905391,0.721333333,0.390858766
1,AnsatzSingleRotX,medium,0.687333333,0.174868095,0.585673036,0.346894622,0.637546989,0.365698276,0.644,0.41812059
1,AnsatzSingleRotX,hard,0.681333333,0.16732651,0.583846335,0.331322034,0.673918976,0.357690999,0.636,0.409184218
1,AnsatzSingleRotY,easy,0.716,0.178066241,0.626774162,0.319752854,0.807701106,0.286545008,0.649333333,0.387342256
1,AnsatzSingleRotY,medium,0.761333333,0.182996765,0.697346726,0.332289406,0.694683664,0.356345312,0.749333333,0.370190383
1,AnsatzSingleRotY,hard,0.738,0.175094063,0.666833408,0.313354341,0.80001696,0.282623563,0.7,0.371947345
1,AnsatzSingleRotZ,easy,0.538666667,0.035207105,0.378213825,0.277737887,0.483997297,0.304500458,0.433333333,0.391789294
1,AnsatzSingleRotZ,medium,0.557333333,0.054768058,0.468163549,0.254352158,0.521807706,0.267284861,0.536,0.364281059
1,AnsatzSingleRotZ,hard,0.540666667,0.056929075,0.433690577,0.26736773,0.459261505,0.216916158,0.502666667,0.380733714
1,AnsatzRot,easy,0.722666667,0.174966663,0.625840085,0.329631864,0.781604143,0.3169727,0.644,0.389567399
1,AnsatzRot,medium,0.766,0.181651428,0.689476777,0.343239954,0.704259758,0.355933207,0.736,0.384183864
1,AnsatzRot,hard,0.745333333,0.172841034,0.666279792,0.322838912,0.776147658,0.313604313,0.693333333,0.375576186
1,AnsatzRotCNOT,easy,0.684,0.154151739,0.581275905,0.327695185,0.665297215,0.342580466,0.62,0.395387196
1,AnsatzRotCNOT,medium,0.654666667,0.128860613,0.567593709,0.304400646,0.61856711,0.318400897,0.636,0.393512914
1,AnsatzRotCNOT,hard,0.593333333,0.072270246,0.481703546,0.281811647,0.577306221,0.29692866,0.542666667,0.387627028
10,AnsatzSingleRotX,easy,0.745333333,0.194825003,0.655395088,0.334659933,0.799111637,0.323414513,0.669333333,0.39219043
10,AnsatzSingleRotX,medium,0.662666667,0.164231404,0.530494922,0.354835813,0.613917109,0.384477812,0.582666667,0.433962761
10,AnsatzSingleRotX,hard,0.68,0.16315848,0.567279839,0.324947858,0.726732523,0.344517642,0.601333333,0.412960158
10,AnsatzSingleRotY,easy,0.706,0.165937254,0.606238048,0.312707995,0.77967089,0.318746711,0.617333333,0.384195831
10,AnsatzSingleRotY,medium,0.761333333,0.180797721,0.693812981,0.314984812,0.779466709,0.314108752,0.722666667,0.366596022
10,AnsatzSingleRotY,hard,0.722,0.169408708,0.636835909,0.30648885,0.777512045,0.319286811,0.653333333,0.378357005
10,AnsatzSingleRotZ,easy,0.535333333,0.034713938,0.353980652,0.279946793,0.452877772,0.300838333,0.401333333,0.389869415
10,AnsatzSingleRotZ,medium,0.556666667,0.063045322,0.447239785,0.260092084,0.578815938,0.281067736,0.505333333,0.37486304
10,AnsatzSingleRotZ,hard,0.544,0.052364768,0.417034956,0.256479662,0.530067126,0.208680398,0.464,0.371331249
10,AnsatzRot,easy,0.67,0.178866161,0.664231508,0.258469037,0.706885335,0.294872391,0.766666667,0.335007291
10,AnsatzRot,medium,0.704,0.207341132,0.702498746,0.296948954,0.667865028,0.307579635,0.836,0.335215834
10,AnsatzRot,hard,0.690666667,0.195164534,0.692413117,0.272262284,0.707618129,0.295887095,0.806666667,0.324295877
10,AnsatzRotCNOT,easy,0.99,0.02084425,0.989980894,0.020826327,0.990274094,0.027608302,0.990666667,0.030954175
10,AnsatzRotCNOT,medium,0.976666667,0.047294626,0.977210219,0.043945884,0.977279202,0.05879691,0.981333333,0.057279312
10,AnsatzRotCNOT,hard,0.984,0.026986587,0.984646911,0.024987162,0.977526138,0.04477967,0.993333333,0.021226745
