model, n_layers, n_qubits, haar, mw
AnsatzSingleRotX,1,10,0.04412735209478199,-6.440160904563896e-17
AnsatzSingleRotY,1,10,0.04410844488773041,-6.505213034913027e-17
AnsatzSingleRotZ,1,10,0.9999737468619319,-4.141652298894627e-17
AnsatzRot,1,10,0.04423501808377653,-3.447762908503904e-17
AnsatzRotCNOT,1,10,0.04424532943028253,0.8843421387409393
AnsatzSingleRotX,10,10,0.04425544443080646,5.0306980803327406e-17
AnsatzSingleRotY,10,10,0.04425729791796144,5.551115123125783e-17
AnsatzSingleRotZ,10,10,0.9999737468619319,-9.042246118529107e-17
AnsatzRot,10,10,0.04421863309328198,7.090682208055199e-17
AnsatzRotCNOT,10,10,0.04419897420376066,0.9970530781713475
