,,,accuracy,accuracy,f1,f1,precision,precision,recall,recall
,,,mean,std,mean,std,mean,std,mean,std
n_layers,model,level,,,,,,,,
1,AnsatzRot,easy,0.9173333333333333,0.06700145821024232,0.9140631717456131,0.07888404634286623,0.9212064428459357,0.07339535778962061,0.9266666666666666,0.13739781992280747
1,AnsatzRot,hard,0.8853333333333333,0.039630477068080816,0.8879566849499247,0.0421547252112594,0.8752103300670336,0.0834910212556879,0.92,0.10660917991139089
1,AnsatzRot,medium,0.9113333333333333,0.0402349422108774,0.9121052963962067,0.03794866444063655,0.9169379498497146,0.07628612440609434,0.9186666666666666,0.07964288107387331
1,AnsatzRotCNOT,easy,0.6273333333333333,0.07191629872976295,0.5869741130741464,0.17183680670889864,0.657382009027767,0.0758876386649541,0.62,0.2904930410466862
1,AnsatzRotCNOT,hard,0.7733333333333333,0.04936376818270058,0.771801640444505,0.07051860384288026,0.7865172989491874,0.08973537964781786,0.7946666666666666,0.16433215592593062
1,AnsatzRotCNOT,medium,0.6793333333333333,0.038768395707678246,0.6484702672218253,0.09900691256582066,0.7432988362771875,0.1279470250427301,0.6426666666666667,0.2210778195542252
1,AnsatzSingleRotX,easy,0.7773333333333333,0.025042492623171764,0.7829841195270463,0.04364612210173309,0.7641251548274876,0.047029882261088625,0.8200000000000001,0.11826329479830894
1,AnsatzSingleRotX,hard,0.8933333333333333,0.07599153007854335,0.9003548768716777,0.06172721153891306,0.8754459672182885,0.09599382479426523,0.9413333333333334,0.08896854668280567
1,AnsatzSingleRotX,medium,0.7360000000000001,0.05617705998862456,0.7242854119741131,0.07726119636285421,0.7771550907950808,0.0987024517605722,0.7226666666666667,0.17855615041374157
1,AnsatzSingleRotY,easy,0.912,0.06614508608954334,0.9091274727696665,0.07755754441176577,0.9162166879014706,0.07760611844172602,0.9226666666666666,0.13693525611695512
1,AnsatzSingleRotY,hard,0.884,0.04148950843701126,0.8870412142684443,0.043192552239246354,0.8740739664306699,0.08766320079783667,0.92,0.10660917991139089
1,AnsatzSingleRotY,medium,0.91,0.0402577899936449,0.9108622274084569,0.038030308418828394,0.9152005761123408,0.07813833014885824,0.9186666666666666,0.08236727393869456
1,AnsatzSingleRotZ,easy,0.35200000000000004,0.05320098521255229,0.3310524824096039,0.09260927525177447,0.3446933168804252,0.039328751639420956,0.3453333333333334,0.16888546074359015
1,AnsatzSingleRotZ,hard,0.29533333333333334,0.07195464727429225,0.2135909999580295,0.12937405540476984,0.22653708008495155,0.0865606575166355,0.22133333333333333,0.17911147238585776
1,AnsatzSingleRotZ,medium,0.35666666666666663,0.06540765184242765,0.27869682170885385,0.1985258322191954,0.27571878370348624,0.14382335546635644,0.30533333333333335,0.26791317859405095
10,AnsatzRot,easy,0.8913333333333333,0.05500679163918565,0.8853537673282558,0.07144514723163366,0.9083743463210944,0.07022122309945754,0.8866666666666667,0.14784272475968446
10,AnsatzRot,hard,0.9186666666666666,0.03319049857116185,0.920928148398737,0.02924847334387788,0.9023526938476963,0.05421033464278669,0.9466666666666667,0.0641836445668603
10,AnsatzRot,medium,0.8933333333333333,0.04991947538775328,0.891691965417856,0.05264045618100207,0.9044871223923043,0.06693869825261836,0.8906666666666666,0.10071925245995401
10,AnsatzRotCNOT,easy,0.9913333333333333,0.012521246311585871,0.991553544494721,0.012146390376304392,0.9835232668566002,0.02359358790372572,1.0,0.0
10,AnsatzRotCNOT,hard,0.9773333333333334,0.010148325268098526,0.9779271844199702,0.00953626325649144,0.9569698819698821,0.017979887208290253,1.0,0.0
10,AnsatzRotCNOT,medium,0.9906666666666666,0.01362890774922119,0.9904979940694226,0.013864882064007085,0.9975308641975309,0.013524013765559654,0.984,0.02485821865063463
10,AnsatzSingleRotX,easy,0.7753333333333334,0.02445732854463526,0.7787523048932373,0.045479163883375674,0.7664777239580125,0.04434640996284619,0.8079999999999999,0.11809989926708891
10,AnsatzSingleRotX,hard,0.8846666666666666,0.0736596709634029,0.8848457177176156,0.08452860801605024,0.8788180064265791,0.07939645400648707,0.9106666666666666,0.1302235037139618
10,AnsatzSingleRotX,medium,0.7113333333333334,0.0631764542200343,0.6831334874479076,0.13822936664909427,0.7660649640158612,0.10657902873681427,0.6839999999999999,0.2199310236697265
10,AnsatzSingleRotY,easy,0.8913333333333333,0.061179968173799566,0.8827956108413185,0.08026394285005148,0.9226892555759013,0.07185409366197326,0.8706666666666667,0.15498461176858
10,AnsatzSingleRotY,hard,0.882,0.04619299842452618,0.8821537752846267,0.05737552637216508,0.874716898091641,0.0651075665986044,0.904,0.10845625210512143
10,AnsatzSingleRotY,medium,0.8913333333333333,0.04946146764511944,0.8855392617546407,0.06178868554983448,0.919516684402554,0.06516788046067595,0.8693333333333334,0.1211136067794467
10,AnsatzSingleRotZ,easy,0.3526666666666667,0.058364687796725136,0.3219379385885419,0.08765489108563927,0.34737840265361036,0.043976825859008285,0.33066666666666666,0.15292399133699325
10,AnsatzSingleRotZ,hard,0.298,0.06955027950562344,0.1916077620113681,0.11382925844865673,0.2083316618325831,0.0845225935612392,0.19066666666666665,0.14236750242638394
10,AnsatzSingleRotZ,medium,0.3506666666666666,0.06575468166541101,0.24272830070204313,0.19833902071790796,0.24455046666646515,0.15090424772339694,0.2613333333333333,0.25595976695342293
